Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Avg SF with SF
1,4,4,27646.0,14520.0,1113.0,6911.5
2,929,929,2184587.0,5369.0,1232.0,2351.5
3,7,7,26122.0,8800.0,1314.0,3731.7
4,20,20,596684.0,61070.0,23032.0,29834.2
5,53,53,519773.0,111313.0,0.0,9807.0
6,2,2,22059.0,11565.0,10494.0,11029.5
7,16,16,57760.0,19386.0,24.0,3610.0
8,5,5,40559.0,16416.0,1894.0,8111.8
9,24,24,534628.0,369662.0,571.0,22276.2
10,65,65,722492.0,74658.0,503.0,11115.3
11,43,43,115739.0,34008.0,72.0,2691.6
12,29,16,129923.0,38247.0,48.0,8120.2
18,33,2,2500.0,1250.0,1250.0,1250.0
20,1,0,0.0,0.0,0.0,0.0
21,64,0,0.0,0.0,0.0,0.0
