As of 3/26,without further sub-cat 7&9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POMHQIIS,IMCOM-Training,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,POM,Benning,,,,,,,,,,,,,
1,4,4,27646,14520,1113,6006.5,6911.5,6911.5,0.003051106,0.003327787,,,1,0.003051106,0.020628136,,,,,,,,,,,,,
2,929,929,2184587,5369,1232,2460,2351.546825,2351.546825,0.708619375,0.772878536,,,2,0.708619375,0.385616056,,,,,,,,,,,,,
3,7,7,26122,8800,1314,2252,3731.714286,3731.714286,0.005339436,0.005823627,,,3,0.005339436,0.001672552,,,,,,,,,,,,,
4,20,20,596684,61070,23032,23533,29834.2,29834.2,0.01525553,0.016638935,,,4,0.01525553,0.020813975,,,,,,,,,,,,,
5,47,47,493002,111313,0,2497,10489.40426,10489.40426,0.035850496,0.039101498,,,5,0.035850496,0.047203122,,,,,,,,,,,,,
6,6,6,43127,12624,1325,7854,7187.833333,7187.833333,0.004576659,0.004991681,,,6,0.004576659,0.007061884,,,,,,,,,,,,,
7,16,16,57760,19386,24,1471,3610,3610,0.012204424,0.013311148,,,7,0.012204424,0.008548597,,,,,,,,,,,,,
8,5,5,40559,16416,1894,8208,8111.8,8111.8,0.003813883,0.004159734,,,8,0.003813883,0.003716781,,,,,,,,,,,,,
9,40,40,592388,369662,24,3178.5,14809.7,14809.7,0.03051106,0.03327787,,,9,0.03051106,0.026203308,,,,,,,,,,,,,
10,65,65,722492,74658,503,5529,11115.26154,11115.26154,0.049580473,0.054076539,,,10,0.049580473,0.110945921,,,,,,,,,,,,,
11,43,43,115739,34008,72,1464,2691.604651,2691.604651,0.03279939,0.03577371,,,11,0.03279939,0.044601375,,,,,,,,,,,,,
12,31,18,135626,38247,48,5184.5,7534.777778,7534.777778,0.023646072,0.014975042,,,12,0.023646072,0.132689091,,,,,,,,,,,,,
18,33,2,2500,1250,1250,1250,1250,1250,0.025171625,0.001663894,,,18,0.025171625,0.03976956,,,,,,,,,,,,,
19,0,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0,0,,,19,0,0.003345103,,,,,,,,,POM,2,10,,
20,1,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.000762777,0,,,20,0.000762777,0.0356811,,,,,,,,,Benning,2,4,10,12
21,64,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.048817696,0,,,21,0.048817696,0.111503438,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenningHQIIS,IMCOM-Training,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,,,,,,,,,,,,,,,
1,111,111,1139099.5,98923,120,4896,10262.15766,10262.15766,0.020628136,0.025819958,,,,,,,,,,,,,,,,,,
2,2075,2075,7048546,14811,1110,2626,3396.889639,3396.889639,0.385616056,0.482670388,,,,,,,,,,,,,,,,,,
3,9,9,506519,457465,2016,2424,56279.88889,56279.88889,0.001672552,0.00209351,,,,,,,,,,,,,,,,,,
4,112,112,6087909.76,347234,1152,40560,54356.33714,54356.33714,0.020813975,0.02605257,,,,,,,,,,,,,,,,,,
5,254,254,1873156.02,206000,48,2603,7374.63,7374.63,0.047203122,0.059083508,,,,,,,,,,,,,,,,,,
6,38,38,639798.98,54521,267,8316,16836.81526,16836.81526,0.007061884,0.008839265,,,,,,,,,,,,,,,,,,
7,46,46,473397,159712,0,980,10291.23913,10291.23913,0.008548597,0.010700163,,,,,,,,,,,,,,,,,,
8,20,20,1076280,819130,1887,13620,53814,53814,0.003716781,0.004652245,,,,,,,,,,,,,,,,,,
9,141,140,1846952.75,231140,0,3164.5,13192.51964,13192.51964,0.026203308,0.032565713,,,,,,,,,,,,,,,,,,
10,597,597,3268055.43,292349.1,0,1056,5474.129698,5474.129698,0.110945921,0.138869505,,,,,,,,,,,,,,Detrick,1,2,9,
11,240,239,1369530.19,145978,0,1824,5730.251841,5730.251841,0.044601375,0.055594324,,,,,,,,,,,,,,,,,,
12,714,608,2783015.26,110000,0,1520,4577.32773,4577.32773,0.132689091,0.141428239,,,,,,,,,,,,,,,,,,
18,214,25,29575,5000,199,1040,1183,1183,0.03976956,0.005815306,,,,,,,,,,,,,,,,,,
19,18,18,656119.56,119240,4363,14586,36451.08667,36451.08667,0.003345103,0.00418702,,,,,,,,,,,,,,,,,,
20,192,7,1166074.6,662112,0,32670,166582.0857,166582.0857,0.0356811,0.001628286,,,,,,,,,,,,,,,,,,
21,600,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0.111503438,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DetrickHQIIS,IMCOM-Sustainment,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility group,count facility group,count facility group with SF,total SF with SF,Max SF with SF,Min SF with SF,Median SF with SF,Avg SF with SF,avg (total SF/count with SF),,,,,,Detrick,,,,,,,,,,,,,,
1,45,45,1817758,522414,230,7414,40394.62222,40394.62222,0.053444181,0.076791809,,,1,0.053444181,,,,,,,,,,,,,,
2,259,259,1057384,24270,1452,1800,4082.563707,4082.563707,0.30760095,0.441979522,,,2,0.30760095,,,,,,,,,,,,,,
3,0,0,0,0,0,#NUM!,#DIV/0!,#DIV/0!,0,0,,,3,0,,,,,,,,,,,,,,
4,6,6,124440,24632,1280,24632,20740,20740,0.007125891,0.010238908,,,4,0.007125891,,,,,,,,,,,,,,
5,45,45,361592,57869,1,2682,8035.377778,8035.377778,0.053444181,0.076791809,,,5,0.053444181,,,,,,,,,,,,,,
