Accountable Organization,Accountable Sub Organization,Installation Code,Installation Name,Site UID,Legacy Site Code,Site Name,RPA UID,Facility Number,Operational Status Code,Operational Status Name,RPA Type Code,RPA Type Desc,RPA Interest Type Code,RPA Interest Type Desc,RPA Predominant Design Use Catcode,RPA Predominant Design Use Catcode Desc,Design Use Catcode,Design Use Catcode Desc,Design Use Fac Code,Design Use Fac Code Name,Asset Configuration Primary UM Qty,Asset Configuration Primary UM Code,Asset Configuration Secondary UM Qty,,Category
IMCOM,TRAINING,6305,Presidio Of Monterey,189645,821655,880 CASS STREET MONTEREY,1077951,B-8804,ACT,Active,B,Building,LEAS,Leasehold,55020,AMBULATORY CARE CLINIC,55020,AMBULATORY CARE CLINIC,5501,Ambulatory Care Clinic,1894,SF,0,,8
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244870,69010,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",69010,FLAGPOLE,69010,FLAGPOLE,6900,"Administrative Structure, Other Than Buildings",1,EA,0,,21
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244871,84510,ACT,Active,LS,Linear Structure,FEE,"U.S. Government owned property, DoD Accountability",84510,"WATER DISTRIBUTION LINES, NONPOTABLE",84510,"WATER DISTRIBUTION LINES, NONPOTABLE",8451,"Water Distribution Line, Non-Potable",2052,LF,0,,
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244872,85220,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",85220,"SIDEWALKS AND WALKWAYS, PAVED",85220,"SIDEWALKS AND WALKWAYS, PAVED",8524,Sidewalk and Walkway,296,SY,0,,
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244873,85221,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",85220,"SIDEWALKS AND WALKWAYS, PAVED",85220,"SIDEWALKS AND WALKWAYS, PAVED",8524,Sidewalk and Walkway,69,SY,0,,
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244874,85222,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",85220,"SIDEWALKS AND WALKWAYS, PAVED",85220,"SIDEWALKS AND WALKWAYS, PAVED",8524,Sidewalk and Walkway,10,SY,0,,
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244875,87110,ACT,Active,LS,Linear Structure,FEE,"U.S. Government owned property, DoD Accountability",87110,STORM SEWER,87110,STORM SEWER,8321,Sewer and Industrial Waste Line,182,LF,0,,21
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244876,87120,ACT,Active,LS,Linear Structure,FEE,"U.S. Government owned property, DoD Accountability",87120,DRAINAGE DITCH,87120,DRAINAGE DITCH,8711,Storm Drainage,169,LF,0,,21
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244877,87150,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",87150,RETAINING STRUCTURE,87150,RETAINING STRUCTURE,8712,Retaining Structure,106,LF,0,,21
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244878,87190,ACT,Active,LS,Linear Structure,FEE,"U.S. Government owned property, DoD Accountability",87120,DRAINAGE DITCH,87120,DRAINAGE DITCH,8711,Storm Drainage,42,LF,0,,21
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244879,87210,ACT,Active,LS,Linear Structure,FEE,"U.S. Government owned property, DoD Accountability",87210,FENCING AND WALLS,87210,FENCING AND WALLS,8721,Boundary Fence and Wall,845,LF,0,,21
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244880,,ACT,Active,L,Land,FEE,"U.S. Government owned property, DoD Accountability",91110,LAND PURCHASES AND CONDEMNATION,91110,LAND PURCHASES AND CONDEMNATION,9110,U.S. Federal Government Owned land,1,AC,0,,
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,244881,76020,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",76020,MONUMENTS/MEMORIALS,76020,MONUMENTS/MEMORIALS,7602,Monument and Memorial,1,EA,0,,
IMCOM,TRAINING,6305,Presidio Of Monterey,3995,6055,Benicia Army Cemetery,1253488,,ACT,Active,L,Land,PDOM,"U.S. Government owned land, Public Domain",91110,LAND PURCHASES AND CONDEMNATION,91110,LAND PURCHASES AND CONDEMNATION,9110,U.S. Federal Government Owned land,1.33,AC,0,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268645,108,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",61050,"ADMINISTRATION BUILDING, GENERAL PURPOSE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268646,64,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",75020,BASEBALL FIELD,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268653,70,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",69030,FACILITY INFORMATION SIGN,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268664,81,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",69030,FACILITY INFORMATION SIGN,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268666,82,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12470,"HEATING FUEL STORAGE TANK, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268879,161,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44220,"STORAGE BUILDING, GENERAL PURPOSE, INSTALLATION",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268883,178,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44262,"VEHICLE STORAGE SHED, INSTALLATION",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268885,131,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",84610,"WATER STORAGE TANK, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268886,121,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89141,"WATER SUPPLY/TREATMENT BUILDING, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268887,123,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",84620,"RESERVOIR, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268888,155,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",84110,WATER TREATMENT PLANT,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268889,124,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89141,"WATER SUPPLY/TREATMENT BUILDING, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268890,138,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89141,"WATER SUPPLY/TREATMENT BUILDING, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268891,111,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89141,"WATER SUPPLY/TREATMENT BUILDING, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268892,305,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44110,"STORAGE BUILDING, GENERAL PURPOSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,268894,208,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",44110,"STORAGE BUILDING, GENERAL PURPOSE, DEPOT LEVEL",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966591,110,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",61050,"ADMINISTRATION BUILDING, GENERAL PURPOSE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966594,666,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",89123,COMPRESSED AIR PLANT,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966595,371,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12480,"LAND VEHICLE FUEL STORAGE, DIESEL/JP8, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966596,377,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12480,"LAND VEHICLE FUEL STORAGE, DIESEL/JP8, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966597,378,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12480,"LAND VEHICLE FUEL STORAGE, DIESEL/JP8, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966598,603,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",81350,ELECTRICAL SWITCHING STATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966599,68,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",21910,ENGINEERING/HOUSING MAINTENANCE SHOP,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966608,135,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",73010,FIRE STATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966611,379,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12630,TANK TRUCK LOAD/UNLOAD FACILITY,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966612,373,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12450,"LAND VEHICLE FUEL STORAGE TANK, MOGAS, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966613,376,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12450,"LAND VEHICLE FUEL STORAGE TANK, MOGAS, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966614,372,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",12450,"LAND VEHICLE FUEL STORAGE TANK, MOGAS, UNDERGROUND",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966615,120,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",81160,STANDBY GENERATOR,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966873,309,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89111,POWER PLANT BUILDING,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966874,274,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",89141,"WATER SUPPLY/TREATMENT BUILDING, POTABLE",,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966877,313,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",83150,SEWAGE LIFT STATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966878,325,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",83150,SEWAGE LIFT STATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966879,650,ACT,Active,S,Structure,FEE,"U.S. Government owned property, DoD Accountability",83150,SEWAGE LIFT STATION,,,,,,,,,
IMCOM,TRAINING,6305,Presidio Of Monterey,4679,6806,Def Distr Reg West Sharpe Site,966880,656,ACT,Active,B,Building,FEE,"U.S. Government owned property, DoD Accountability",74060,BREAK/LUNCH ROOM,,,,,,,,,
